"Part Suitability","Product (WPN)","Datasheet","SPICE Live Model","OPN","Price","Description","Power Conversion","VOUT (min) (V)","VOUT (max) (V)","VINDC/RMS (max) (V)","VINDC/RMS (min) (V)","IOUT (A)","Iq Typ (mA)","fSW Typ (kHz)","Topology","Control Mode","Package Type","Qualification","VCC Min (V)","VCC Max (V)","UVLO (V)","Stand-by Mode","Drive Capability Source","Drive Capability Sink","Latch","Shutdown Pin","Efficiency (%)","Phases","VDO Typ (V)","PSRR (dB)","Noise (µVrms)","Application","Polarity","Output","Enable","PowerGood","Short Circuit Protection","Soft Start","fJitter Typ (%)","RDS(ON) Typ (Ω)","V(BR)DSS Max (V)","IPeak (mA)","HV Start-up Min (V)","DSS (mA)","Over Power Compensation","Brown-out","PFC Mode","Frequency Operation","UVP","Inhibition","Vref Typ (V)","TA Max (°C)","TA Min (°C)","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711BMTW330TBG","0.22","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, 3V3 WDFNW6 ","DC/DC","3.3","3.3","18","2.7","0.1","0.0013","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.215","70","330","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711BMTWADJTBG","0.22","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, ADJ WDFNW6 ","DC/DC","1.2","17","18","2.7","0.1","0.0013","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.215","70","1700","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711BMTW500TBG","0.22","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, 5V0 WDFNW6 ","DC/DC","","","18","2.7","0.1","0.0013","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.215","70","500","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711ASN300T1G","0.26","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, 3V0 TSOP5 ","DC/DC","3","3","18","2.7","0.1","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.215","70","300","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711ASN330T1G","0.28","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, 3V3 TSOP5","DC/DC","3.3","3.3","18","2.7","0.1","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.215","70","330","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711ASN500T1G","0.28","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, 5V0 TSOP5","DC/DC","5","5","18","2.7","0.1","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.215","70","500","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711ASNADJT1G","0.28","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, ADJ TSOP5","DC/DC","1.2","17","18","2.7","0.1","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.215","70","1700","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8760C","https://www.onsemi.com/download/data-sheet/pdf/NCV8760C-D.PDF","","NCV8760CDT332RKG","0.50","LDO Regulator with RESET and Delay Time Select, Ultra Low Iq, 150 mA","DC/DC","3.3","3.3","40","4.5","0.15","0.018","","LDO","","DPAK-5","Automotive","","","","","","","","","","","","70","","Automotive","Positive","Single","false","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8760C","https://www.onsemi.com/download/data-sheet/pdf/NCV8760C-D.PDF","","NCV8760CDT501RKG","0.50","LDO Regulator with RESET and Delay Time Select, Ultra Low Iq, 150 mA","DC/DC","5","5","40","5.7","0.15","0.018","","LDO","","DPAK-5","Automotive","","","","","","","","","","","0.2","70","","Automotive","Positive","Single","false","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8760C","https://www.onsemi.com/download/data-sheet/pdf/NCV8760C-D.PDF","","NCV8760CDT333RKG","0.50","LDO Regulator with RESET and Delay Time Select, Ultra Low Iq, 150 mA","DC/DC","3.3","3.3","40","4.5","0.15","0.018","","LDO","","DPAK-5","Automotive","","","","","","","","","","","","70","","Automotive","Positive","Single","false","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164AMTW110TAG","0.25","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, 1.1V, Active Discharge","DC/DC","1.1","1.1","5.5","1.6","0.3","0.03","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"98","NCV8114","https://www.onsemi.com/download/data-sheet/pdf/NCV8114-D.PDF","","NCV8114ASN170T1G","0.08","LDO Regulator, 300 mA, Low Iq, 1.7V AD","DC/DC","1.7","1.7","5.5","1.7","0.3","0.05","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.135","75","70","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"98","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164AMTWADJTAG","0.19","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, ADJ, Active Discharge","DC/DC","","","5.5","1.6","0.3","0.03","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"98","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","","NCV8730BMTWADJTBG","0.28","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, ADJ WDFNW6","DC/DC","1.2","24","38","2.7","0.15","0.0018","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.29","70","2400","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"98","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV8730ASN330T1G","NCV8730ASN330T1G","0.35","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, 3.3V, TSOP5","DC/DC","3.3","3.3","38","2.7","0.15","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.29","70","195","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"98","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","","NCV8730BMTW330TBG","0.33","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, 3.3V WDFNW6","DC/DC","3.3","3.3","38","2.7","0.15","0.0018","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.29","70","195","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"97","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","","NCV8730BMTW500TBG","0.33","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, 5.0V WDFNW6","DC/DC","5","5","38","2.7","0.15","0.0018","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.29","70","240","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"97","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV8730ASN500T1G","NCV8730ASN500T1G","0.37","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, 5.0V, TSOP5","DC/DC","5","5","38","2.7","0.15","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.29","70","240","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"97","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV8730ASNADJT1G","NCV8730ASNADJT1G","0.36","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, ADJ, TSOP5","DC/DC","1.2","24","38","2.7","0.15","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.29","70","2400","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"97","NCP731","https://www.onsemi.com/download/data-sheet/pdf/NCP731-D.PDF","","NCP731ADNADJR2G","0.79","LDO Regulator, 150 mA, 38 V, 8 µVrms Low Noise, with Enable and external Soft Start., ADJ, MSOP8 3x3 EP","DC/DC","1.2","35","38","2.7","0.15","0.048","","LDO","","MSOP8 EP 3x3","Standard","","","","","","","","","","","0.29","70","10","Industrial","Positive","Single","true","false","","","","","","","","","","","","","","","","","","false","false","true","true","Active"
"97","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","","NCV8730BMTW1500TBG","0.33","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, 15V WDFNW6","DC/DC","15","15","38","2.7","0.15","0.0018","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.29","70","460","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"97","NCV8730","https://www.onsemi.com/download/data-sheet/pdf/NCV8730-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV8730ASN180T1G","NCV8730ASN180T1G","0.45","LDO Regulator, 150 mA, 38 V, 1 µA IQ, with PG, 1.8V, TSOP5 ","DC/DC","1.8","1.8","38","2.7","0.15","0.0013","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.29","70","164","Automotive","Positive","Single","true","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"97","NCP731","https://www.onsemi.com/download/data-sheet/pdf/NCP731-D.PDF","","NCP731ADN330R2G","0.79","LDO Regulator, 150 mA, 38 V, 8 µVrms Low Noise, with Enable and external Soft Start., 3V3, MSOP8 3x3 EP","DC/DC","3.3","3.3","38","2.7","0.15","0.048","","LDO","","MSOP8 EP 3x3","Standard","","","","","","","","","","","0.29","70","14","Industrial","Positive","Single","true","false","","","","","","","","","","","","","","","","","","false","false","true","true","Active"
"97","NCP731","https://www.onsemi.com/download/data-sheet/pdf/NCP731-D.PDF","","NCP731ADN500R2G","0.79","LDO Regulator, 150 mA, 38 V, 8 µVrms Low Noise, with Enable and external Soft Start., 5V0, MSOP8 3x3 EP","DC/DC","5","5","38","2.7","0.15","0.048","","LDO","","MSOP8 EP 3x3","Standard","","","","","","","","","","","0.29","70","21","Industrial","Positive","Single","true","false","","","","","","","","","","","","","","","","","","false","false","true","true","Active"
"97","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715SQ12T2G","0.38","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","1.2","1.2","24","2.5","0.05","0.0034","","LDO","","SC-88A / SC-70-5","Automotive","","","","","","","","","","","","60","65","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715SQ25T2G","0.13","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","2.5","2.5","24","2.5","0.05","0.0034","","LDO","","SC-88A / SC-70-5","Automotive","","","","","","","","","","","0.26","60","115","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715MX18TBG","0.38","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","1.8","1.8","24","2.5","0.05","0.0034","","LDO","","XDFN-6","Automotive","","","","","","","","","","","","60","95","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715SQ18T2G","0.38","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","1.8","1.8","24","2.5","0.05","0.0034","","LDO","","SC-88A / SC-70-5","Automotive","","","","","","","","","","","","60","95","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715SQ33T2G","0.41","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","3.3","3.3","24","2.5","0.05","0.0034","","LDO","","SC-88A / SC-70-5","Automotive","","","","","","","","","","","0.23","60","140","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715MX30TBG","0.43","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","3","3","24","2.5","0.05","0.0034","","LDO","","XDFN-6","Automotive","","","","","","","","","","","0.25","60","135","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715MX33TBG","0.43","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","3.3","3.3","24","2.5","0.05","0.0034","","LDO","","XDFN-6","Automotive","","","","","","","","","","","0.23","60","140","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715MX50TBG","0.38","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","5","5","24","2.5","0.05","0.0034","","LDO","","XDFN-6","Automotive","","","","","","","","","","","0.23","56","190","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8715","https://www.onsemi.com/download/data-sheet/pdf/NCV8715-D.PDF","","NCV8715SQ50T2G","0.41","LDO Regulator, 50 mA, Low Dropout, Ultra-Low Iq","DC/DC","5","5","24","2.5","0.05","0.0034","","LDO","","SC-88A / SC-70-5","Automotive","","","","","","","","","","","0.23","56","190","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCP171","https://www.onsemi.com/download/data-sheet/pdf/NCP171-D.PDF","","NCP171A3MX170165TCG","0.36","LDO Regulator, Ultra-Low 50nA Iq, with Dual Power Mode, 80mA, Vout = 1.7 V @ Active mode, Vout = 1.65 V @ Low Power mode, with Active discharge","DC/DC","1.65","1.65","5.5","1.7","0.08","0.00005","","LDO","","XDFN-4","Standard","","","","","","","","","","","","65","54","Consumer","Positive","Single","true","false","","","","","","","","","","","","","","","","","","false","false","true","true","Active"
"96","NCP715","https://www.onsemi.com/download/data-sheet/pdf/NCP715-D.PDF","","NCP715SN12T1G","0.17","LDO Regulator, 50 mA, Ultra-Low Iq, 1.2V, TSOP5","DC/DC","1.2","1.2","24","2.5","0.05","0.0032","","LDO","","TSOP-5 / SOT-23-5","Standard","","","","","","","","","","","","60","65","","Positive","Single","false","false","","","","","","","","","","","","","","","","","","false","false","true","true","Active"
"96","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CMTW180TAG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate, 1.8V","DC/DC","1.8","1.8","5.5","1.6","0.5","0.035","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.093","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CMTW280TAG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate, 2.8V","DC/DC","2.8","2.8","5.5","1.6","0.5","0.035","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.069","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"96","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CMTW075TAG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate, 0.75V","DC/DC","0.75","0.75","5.5","1.6","0.5","0.035","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CMTW330TAG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate, 3.3V","DC/DC","3.3","3.3","5.5","1.6","0.5","0.035","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.065","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189FMTW080TAG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate, 0.8V","DC/DC","0.8","0.8","5.5","1.6","0.5","0.035","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CMTWADJTAG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate","DC/DC","","","5.5","1.6","0.5","0.035","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CML120TCG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate, 1.2V","DC/DC","1.2","1.2","5.5","1.6","0.5","0.035","","LDO","","DFNW-8","Automotive","","","","","","","","","","","","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8189","https://www.onsemi.com/download/data-sheet/pdf/NCV8189-D.PDF","","NCV8189CMLADJTCG","0.29","LDO, 0.5A, Low noise, Fixed and Adjustable, Controlled slew rate","DC/DC","","","5.5","1.6","0.5","0.035","","LDO","","DFNW-8","Automotive","","","","","","","","","","","","85","10","Automotive, Telecom","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164ASN180T1G","0.18","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, 1.8V, Active Discharge","DC/DC","1.8","1.8","5.5","1.6","0.3","0.03","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.155","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164ASN280T1G","0.18","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, 2.8V, Active Discharge","DC/DC","2.8","2.8","5.5","1.6","0.3","0.03","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.115","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164ASN330T1G","0.18","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, 3.3V, Active Discharge","DC/DC","3.3","3.3","5.5","1.6","0.3","0.03","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.11","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164ASNADJT1G","0.18","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, ADJ, Active Discharge","DC/DC","","","5.5","1.6","0.3","0.03","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"95","NCV8164","https://www.onsemi.com/download/data-sheet/pdf/NCV8164-D.PDF","","NCV8164ASN150T1G","0.18","300mA LDO Regulator, Ultra-Low Noise, High PSRR with Power Good, 1.5V, Active Discharge","DC/DC","1.5","1.5","5.5","1.6","0.3","0.03","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.17","85","9","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
