"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Product Family","IOUT Max (A)","Vin Min (V)","Vin Max (V)","RDS(ON) Typ (mΩ)","Features","Current Limit (FIXED/ADJ/NO)","Package Type","Iq (µA)","Input / Output","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"89","FPF2495C","https://www.onsemi.com/download/data-sheet/pdf/FPF2495C-D.PDF","FPF2495CUCX","0.33","Load Switch, Over-Voltage, Over-Current Protection with Adjustable Current-Limit Control, IntelliMAX™ 28 V","IntelliMAX","2.2","2.5","5.5","70","Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO","","WLCSP-9","65","1:1","Standard","false","false","true","true","Active"
"89","FPF2496","https://www.onsemi.com/download/data-sheet/pdf/FPF2496-D.pdf","FPF2496UCX","0.39","IntelliMAX™ 28 V, Over-Voltage, Over-Current Protection Load Switch with Adjustable Current-Limit Control","IntelliMAX","2.75","3.5","5.5","70","Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, Output Discharge","","WLCSP-9","65","1:1","Standard","false","false","true","true","Active"
"88","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT1TXG","0.59","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Latching, UVLO 8.5V, VCLAMP 15V, ISENSE","eFuse","4.6","9.3","18","39","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"88","FPF1504L","https://www.onsemi.com/download/data-sheet/pdf/FPF1504-D.PDF","FPF1504LUCX","0.16","Advanced Load Management Switch","IntelliMAX","1.5","1","3.6","15","Output Discharge","","WLCSP-4","0.1","1:1","Standard","false","false","true","true","Active"
"88","FPF1504","https://www.onsemi.com/download/data-sheet/pdf/FPF1504-D.PDF","FPF1504BUCX","0.15","Advanced Load Management Switch","IntelliMAX","1.5","1","3.6","15","Output Discharge","","WLCSP-4","0.1","1:1","Standard","false","false","true","true","Active"
"88","FPF1504","https://www.onsemi.com/download/data-sheet/pdf/FPF1504-D.PDF","FPF1504UCX","0.15","Advanced Load Management Switch","IntelliMAX","1.5","1","3.6","15","Output Discharge","","WLCSP-4","0.1","1:1","Standard","false","false","true","true","Active"
"88","FPF1320","https://www.onsemi.com/download/data-sheet/pdf/FPF1321-D.PDF","FPF1320UCX","0.33","IntelliMAX™ Dual-Input Single-Output Advanced Power Switch with True Reverse-Current Blocking","IntelliMAX","1.5","1.5","5.5","50","Reverse Current Blocking","","WLCSP-6","12","2:1","Standard","false","false","true","true","Active"
"88","NCP333","https://www.onsemi.com/download/data-sheet/pdf/NCP333-D.PDF","NCP333FCT2G","0.12","Load Switch with Discharge Path, 1.5 A","Other Power Switches","1.5","1.2","5.5","45","Output Discharge","","WLCSP-4","1","1:1","Standard","false","false","true","true","Active"
"88","NCP382","https://www.onsemi.com/download/data-sheet/pdf/NCP382-D.PDF","NCP382HD05AAR2G","0.29","Fixed Current-Limiting Power Distribution Switches , 0.5 A, Enable H","Other Power Switches","2","2.5","5.5","80","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","SOIC-8","100","1:2","Standard","false","true","true","true","Active"
"87","NCP382","https://www.onsemi.com/download/data-sheet/pdf/NCP382-D.PDF","NCP382HD10AAR2G","0.29","Fixed Current-Limiting Power Distribution Switches , 1.0 A, Enable H","Other Power Switches","2","2.5","5.5","80","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","SOIC-8","100","1:2","Standard","false","true","true","true","Active"
"87","NIS6350","https://www.onsemi.com/download/data-sheet/pdf/NIS6350-D.PDF","NIS6350MT2TXG","0.76","'+5 Volt Electronic eFuse","eFuse","3","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Standard","false","false","true","true","Active"
"87","NIS6350","https://www.onsemi.com/download/data-sheet/pdf/NIS6350-D.PDF","NIS6350MT1TXG","0.77","'+5 Volt Electronic eFuse","eFuse","3","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Standard","false","false","true","true","Active"
"87","NCP382","https://www.onsemi.com/download/data-sheet/pdf/NCP382-D.PDF","NCP382HD15AAR2G","0.29","Fixed Current-Limiting Power Distribution Switches , 1.5 A, Enable H","Other Power Switches","2","2.5","5.5","80","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","SOIC-8","100","1:2","Standard","false","false","true","true","Active"
"87","NCP382","https://www.onsemi.com/download/data-sheet/pdf/NCP382-D.PDF","NCP382LD15AAR2G","0.29","Fixed Current-Limiting Power Distribution Switches , 1.5 A, Enable L","Other Power Switches","2","2.5","5.5","80","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","SOIC-8","100","1:2","Standard","false","false","true","true","Active"
"86","NCP456","https://www.onsemi.com/download/data-sheet/pdf/NCP456-D.PDF","NCP456RFCCT2G","0.26","Load Switch, 2 A Single, For Low Voltage Rail ","Other Power Switches","2","0.75","5.5","24","Reverse Current Blocking, Adjustable Slew Rate","","WLCSP-6","1.5","1:1","Standard","false","false","true","true","Active"
"86","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT7TXG","0.59","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Auto-Retry, UVLO 6.5V, VCLAMP 13.5V, ISENSE","eFuse","4.6","7.1","18","39","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"86","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT2TXG","0.59","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Latching, UVLO 6.5V, VCLAMP 13.5V, ISENSE","eFuse","4.6","7.1","18","39","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"85","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT8TXG","0.67","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Auto-Retry, UVLO 8.5V, ISENSE","eFuse","4.6","7.1","18","39","Over Current - Shutdown, Over Current - Current source, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"85","FPF2595","https://www.onsemi.com/download/data-sheet/pdf/FPF2595-D.PDF","FPF2595UCX","0.42","Load Switch, Over-Voltage, Over-Current Protection with Adjustable Current-Limit Control, IntelliMAX™ 28 V","IntelliMAX","3.9","2.5","5.5","35","Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO","","WLCSP-12","65","1:1","Standard","false","false","true","true","Active"
"85","FPF1204","https://www.onsemi.com/download/data-sheet/pdf/FPF1203-D.PDF","FPF1204UCX","0.18","IntelliMAX™ Ultra-Small, Slew-Rate-Controlled Load Switch","IntelliMAX","2.2","1.2","5.5","55","Output Discharge","","WLCSP-4","1.5","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HMU20AATBG","0.21","Power Distribution Switch, Current-Limiting (Fixed and Adjustable)","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HMU05AATBG","0.22","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 0.5 A, Enable H","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380LMU05AATBG","0.22","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 0.5 A, Enable L","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380LSN05AAT1G","0.24","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 0.5 A, Enable L","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HMU10AATBG","0.25","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 1.0 A, Enable H","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HMU15AATBG","0.25","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 1.5 A, Enable H","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HMUAJAATBG","0.25","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), Adjustable, Enable H","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380LSN10AAT1G","0.25","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 1.0 A, Enable L","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HSN05AAT1G","0.26","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 0.5 A, Enable H","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380LMUAJAATBG","0.27","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), Adjustable, Enable L","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380LSNAJAAT1G","0.28","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), Adjustable, Enable L","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","TSOP-6","80","1:1","Standard","false","false","true","true","Active"
"85","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HSN10AAT1G","0.28","Power Distribution Switch, Current-Limiting (Fixed and Adjustable), 1.0 A, Enable H","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","80","1:1","Standard","false","false","true","true","Active"
"84","NCP45732","https://www.onsemi.com/download/data-sheet/pdf/NCP45732-D.PDF","NCP45732IMN24TWG","0.66","Load Switch, Integrated, ecoSWITCH™ 11.7 mΩ, 24V, 8 A, Fault Protection","ecoSwitch","8","3","24","11.7","Over Current - Shutdown, PGOOD, UVLO, Output Discharge, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","DFN10 2x2, 0.4P","500","1:1","Standard","false","false","true","true","Active"
"84","NCP380","https://www.onsemi.com/download/data-sheet/pdf/NCP380-D.PDF","NCP380HMU21AATBG","0.25","Power Distribution Switch, Current-Limiting (Fixed and Adjustable)","Other Power Switches","2.5","2.5","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-6","80","1:1","Standard","false","false","true","true","Active"
"84","NCV7755","https://www.onsemi.com/download/data-sheet/pdf/NCV7755-D.PDF","NCV7755DQR2G","3.33","Octal High-Side Driver that can be controlled via SPI or direct drive inputs. ","Other Power Switches","2.3","3","28","900","Over Current - Shutdown, Fault Signal, PGOOD, UVLO","","SSOP-24 NB EP","3","","Automotive","true","true","true","true","Active"
"84","NCP45650","https://www.onsemi.com/download/data-sheet/pdf/NCP45650-D.PDF","NCP45650IMNTWG","0.82","Load Switch, ecoSwitch™ 5mΩ, 13.5V, 14A, Fault Protection","ecoSwitch","14","1","13.5","5","Over Current - Shutdown, PGOOD, UVLO, Output Discharge, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","DFN-12","740","1:1","Standard","false","false","true","true","Active"
"84","NCP45650","https://www.onsemi.com/download/data-sheet/pdf/NCP45650-D.PDF","NCP45651IMNTWG","0.82","Load Switch, ecoSwitch™ 5mΩ, 13.5V, 14A, Fault Protection","ecoSwitch","14","1","13.5","5","Over Current - Shutdown, PGOOD, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","DFN-12","740","1.1","Standard","false","false","true","true","Active"
"83","NCP361","https://www.onsemi.com/download/data-sheet/pdf/NCP361-D.PDF","NCP361SNT1G","0.26","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Overcurrent Protection, OVLO 5.675 V, OCP 750 mA","Other Power Switches","0.6","1.2","20","300","Over Voltage Protection, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","20","1:1","Standard","false","false","true","true","Active"
"83","NCP361","https://www.onsemi.com/download/data-sheet/pdf/NCP361-D.PDF","NCP361MUTBG","0.33","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Overcurrent Protection, OVLO 5.675 V, OCP 750 mA","Other Power Switches","0.6","1.2","20","300","Over Voltage Protection, Fault Signal, UVLO","","UDFN-6","20","1:1","Standard","false","false","true","true","Active"
"83","NCP45610","https://www.onsemi.com/download/data-sheet/pdf/NCP45610-D.PDF","NCP45610IMNTWG","0.81","Load Switch, ecoSwitch™ 14mΩ, 13.5V, 8A, Fault Protection","ecoSwitch","8","1","13.5","14","Over Current - Shutdown, PGOOD, UVLO, Output Discharge, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","DFN-8","800","1:1","Standard","false","false","true","true","Active"
"83","NCP360","https://www.onsemi.com/download/data-sheet/pdf/NCP360-D.PDF","NCP360SNT1G","0.29","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Status Flag, OVLO 5.675 V","Other Power Switches","0.6","1.2","20","210","Over Voltage Protection, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","24","1:1","Standard","false","false","true","true","Active"
"83","NCP360","https://www.onsemi.com/download/data-sheet/pdf/NCP360-D.PDF","NCP360SNAET1G","0.31","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Status Flag, OVLO 6.25 V","Other Power Switches","0.6","1.2","20","210","Over Voltage Protection, Fault Signal, UVLO","","TSOP-5 / SOT-23-5","24","1:1","Standard","false","false","true","true","Active"
"83","NCP360","https://www.onsemi.com/download/data-sheet/pdf/NCP360-D.PDF","NCP360MUTBG","0.38","Overvoltage Protection Circuit, USB Positive, with Internal PMOS FET and Status Flag, OVLO 5.675 V","Other Power Switches","0.6","1.2","20","210","Over Voltage Protection, Fault Signal, UVLO","","UDFN-6","24","1:1","Standard","false","false","true","true","Active"
"83","NCP383","https://www.onsemi.com/download/data-sheet/pdf/NCP383-D.PDF","NCP383LMUAJAATXG","0.49","Power Distribution Switch, Current-Limiting, Adjustable","Other Power Switches","3","2.5","5.5","45","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","UDFN-10","100","1:2","Standard","false","false","true","true","Active"
"83","NCP339","https://www.onsemi.com/download/data-sheet/pdf/NCP339-D.PDF","NCP339BFCT2G","0.21","3A Load Switch with Auto-Discharge Path","Other Power Switches","3","1.2","5.5","18","Reverse Current Blocking, Output Discharge","","WLCSP-6","1","1:1","Standard","false","false","true","true","Active"
"83","NCP340","https://www.onsemi.com/download/data-sheet/pdf/NCP340-D.PDF","NCP340MUTBG","0.25","Controlled Load Switch, Soft-Start, 3.0 A","Other Power Switches","3","1.8","5.5","26","Reverse Current Blocking","","UDFN-4","100","1:1","Standard","false","false","true","true","Active"
"82","NCP398","https://www.onsemi.com/download/data-sheet/pdf/NCP398-D.PDF","NCP398FCCT1G","0.13","USB Type-C V<sub>CONN</sub> Overvoltage Protection IC, OVP in bump","Other Power Switches","0.8","2.8","28","190","Over Voltage Protection, UVLO, Output Discharge","","WLCSP-4","40","1:1","Standard","false","false","true","true","Active"
"82","NCP398","https://www.onsemi.com/download/data-sheet/pdf/NCP398-D.PDF","NCP398MUTBG","0.16","USB Type-C V<sub>CONN</sub> Overvoltage Protection IC, OVP in DFN","Other Power Switches","0.8","2.8","28","190","Over Voltage Protection, UVLO, Output Discharge","","UDFN-6","40","1:1","Standard","false","false","true","true","Active"
"82","NCP330","https://www.onsemi.com/download/data-sheet/pdf/NCP330-D.PDF","NCP330MUTBG","0.25","Controlled Load Switch, Soft-Start, 3.0 A","Other Power Switches","3","1.8","5.5","26","","","UDFN-4","100","1:1","Standard","false","false","true","true","Active"
"82","NCP451","https://www.onsemi.com/download/data-sheet/pdf/NCP451-D.PDF","NCP451AFCT2G","0.20","Controlled Load Switch, Ultra-Small, Low Ron, 3.0 A, with Auto-Discharge Path","Other Power Switches","3","0.75","5.5","12","Output Discharge","","WLCSP-6","8","1:1","Standard","false","false","true","true","Active"
"82","NIS4461","https://www.onsemi.com/download/data-sheet/pdf/NIS4461-D.PDF","NIS4461MT1TXG","0.99","Electronic fuse (eFuse), 24V, 44mΩ, 4.2A, 24V Latch with Isense","eFuse","4.2","7.1","30","39","Over Current - Shutdown, Over Current - Current source, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"82","NIS4461","https://www.onsemi.com/download/data-sheet/pdf/NIS4461-D.PDF","NIS4461MT3TXG","1.00","Electronic fuse (eFuse), 24V, 44mΩ, 4.2A, 24V Auto-Retry with Isense","eFuse","4.2","7.1","30","39","Over Current - Shutdown, Over Current - Current source, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"82","NIS4461","https://www.onsemi.com/download/data-sheet/pdf/NIS4461-D.PDF","NIS4461MT2TXG","0.98","Electronic fuse (eFuse), 24V, 44mΩ, 4.2A, 24V Latch without Isense","eFuse","4.2","7.1","30","39","Over Current - Shutdown, Over Current - Current source, Fault Signal, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"82","NIS4461","https://www.onsemi.com/download/data-sheet/pdf/NIS4461-D.PDF","NIS4461MT4TXG","0.98","Electronic fuse (eFuse), 24V, 44mΩ, 4.2A, 24V Auto-Retry without Isense","eFuse","4.2","7.1","30","39","Over Current - Shutdown, Over Current - Current source, Fault Signal, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"81","NIS6420","https://www.onsemi.com/download/data-sheet/pdf/NIS6420-D.PDF","NIS6420MT1TWG","0.44","Electronic Fuse, 12V, 12V eFuse Latch","eFuse","5","3.1","16","42","Over Current - Shutdown, Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WQFN-12","300","1:1","Standard","false","false","true","true","Active"
"81","NIS6420","https://www.onsemi.com/download/data-sheet/pdf/NIS6420-D.PDF","NIS6420MT2TWG","0.45","Electronic Fuse, 12V, 12V eFuse Auto-Retry","eFuse","5","3.1","16","42","Over Current - Shutdown, Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WQFN-12","300","1:1","Standard","false","false","true","true","Active"
"81","NCP45780","https://www.onsemi.com/download/data-sheet/pdf/NCP45780-D.PDF","NCP45780IMN24RTWG","0.97","Load Switch, Integrated, ecoSWITCH™13.5 mΩ, 24 V, 7 A, Fault Protection","ecoSwitch","7","3","24","13.5","Over Current - Shutdown, Reverse Current Blocking, Fault Signal, PGOOD, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","DFN-12","1.6","1:1","Standard","false","false","true","true","Active"
"81","NIS6452","https://www.onsemi.com/download/data-sheet/pdf/NIS6432-D.PDF","NIS6432MT1TWG","0.53","Electronic Fuse, +3.3 V, +5 V, 3.3V eFuse","eFuse","5","2.9","14","42","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WQFN-12","300","1:1","Standard","false","false","true","true","Active"
