"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Vi(on) Min (V)","Vi(off) Max (V)","R1 (kΩ)","R2 (kΩ)","IC Continuous (A)","Configuration","Polarity","Package Type","V(BR)CEO Min (V)","hFE Min","R1/R2 Typ","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"90","NSBC143EPDP6","https://www.onsemi.com/download/data-sheet/pdf/DTC143EP-D.PDF","NSBC143EPDP6T5G","0.05","Complementary Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Complementary","NPN+PNP","SOT-963","50","15","1","Standard","false","false","true","true","Active"
"90","MUN2230","https://www.onsemi.com/download/data-sheet/pdf/DTC113E-D.PDF","SMUN2230T1G","0.02","NPN Bipolar Digital Transistor (BRT)","2","0.5","1","1","0.1","Single","NPN","SC-59-3","50","3","1","Automotive","true","true","true","true","Active"
"90","MUN2240","https://www.onsemi.com/download/data-sheet/pdf/DTC144T-D.PDF","SMUN2240T1G","0.02","NPN Bipolar Digital Transistor (BRT)","4","0.5","47","","0.1","Single","NPN","SC-59-3","50","160","","Automotive","true","true","true","true","Active"
"90","NSBC124EPDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC124EP-D.PDF","NSVBC124EPDXV6T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","2.5","0.8","22","22","0.1","Complementary","NPN+PNP","SOT-563","50","60","1","Automotive","true","true","true","true","Active"
"90","MUN5230DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC113ED-D.PDF","SMUN5230DW1T1G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","2","0.5","1","1","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","3","1","Automotive","true","true","true","true","Active"
"90","MUN5330DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC113EP-D.PDF","SMUN5330DW1T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","2","0.5","1","1","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","3","1","Automotive","true","true","true","true","Active"
"90","NSBA143EF3","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","NSBA143EF3T5G","0.04","PNP Bipolar Digital Transistor (BRT), 50 V, 100 mA, 4.7 k, 4.7 k","3","0.5","4.7","4.7","0.1","Single","PNP","SOT-1123-3","50","15","1","Standard","false","false","true","true","Active"
"90","NSBA143EDP6","https://www.onsemi.com/download/data-sheet/pdf/DTA143ED-D.PDF","NSBA143EDP6T5G","0.05","Dual PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Dual","PNP","SOT-963","50","15","1","Standard","false","false","true","true","Active"
"90","MMUN2132L","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","MMUN2132LT1G","0.01","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SOT-23-3","50","15","1","Standard","false","false","true","true","Active"
"90","MUN2236","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","MUN2236T1G","0.02","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SC-59-3","50","80","1","Standard","false","false","true","true","Active"
"90","DTC115EE","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","DTC115EET1G","0.02","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SC-75-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN5236DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC115ED-D.PDF","MUN5236DW1T1G","0.03","Dual NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Standard","false","false","true","true","Active"
"90","DTA143EE","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","DTA143EET1G","0.02","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SC-75-3","50","15","1","Standard","false","false","true","true","Active"
"90","DTA115EE","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","DTA115EET1G","0.02","PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","PNP","SC-75-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN5332DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC143EP-D.PDF","MUN5332DW1T1G","0.03","Complementary Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","15","1","Standard","false","false","true","true","Active"
"90","DTC115EM3","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","DTC115EM3T5G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SOT-723-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN2132","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","MUN2132T1G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SC-59-3","50","15","1","Standard","false","false","true","true","Active"
"90","DTA143EM3","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","DTA143EM3T5G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SOT-723-3","50","15","1","Standard","false","false","true","true","Active"
"90","DTA115EM3","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","DTA115EM3T5G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","PNP","SOT-723-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN5132","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","MUN5132T1G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SC-70-3 / SOT-323-3","50","15","1","Standard","false","false","true","true","Active"
"90","NSBC143EPDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC143EP-D.PDF","NSBC143EPDXV6T1G","0.07","Complementary Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Complementary","NPN+PNP","SOT-563","50","15","1","Standard","false","false","true","true","Active"
"90","NSBA115EDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTA115ED-D.PDF","NSBA115EDXV6T1G","0.08","Dual PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Dual","PNP","SOT-563","50","80","1","Standard","false","false","true","true","Active"
"90","NSBC115EDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC115ED-D.PDF","NSBC115EDXV6T1G","0.08","Dual NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Dual","NPN","SOT-563","50","80","1","Standard","false","false","true","true","Active"
"89","MUN5211DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC114ED-D.PDF","NSVMUN5211DW1T2G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","35","1","Automotive","true","true","true","true","Active"
"89","MMUN2217L","https://www.onsemi.com/download/data-sheet/pdf/DTC143X-D.PDF","MMUN2217LT1G","0.01","NPN Bipolar Digital Transistor (BRT)","2.5","0.3","4.7","10","0.1","Single","NPN","SOT-23-3","50","35","0.47","Standard","false","false","true","true","Active"
"89","NSBC124XPDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC124XP-D.PDF","NSVBC124XPDXV6T1G","0.09","Complemetary Bipolar Digital Transistor (BRT)","2","0.5","22","47","0.1","Complementary","NPN+PNP","SOT-563","50","80","0.468","Automotive","true","true","true","true","Active"
"88","MUN5134","https://www.onsemi.com/download/data-sheet/pdf/DTA124X-D.PDF","NSVMUN5134T1G","0.03","PNP Bipolar Digital Transistor (BRT)","2","0.5","22","47","0.1","Single","PNP","SC-70-3 / SOT-323-3","50","80","0.468","Automotive","true","true","true","true","Active"
"88","MUN5234","https://www.onsemi.com/download/data-sheet/pdf/DTC124X-D.PDF","NSVMUN5234T1G","0.03","NPN Bipolar Digital Transistor (BRT)","2","0.5","22","47","0.1","Single","NPN","SC-70-3 / SOT-323-3","50","80","0.468","Automotive","true","true","true","true","Active"
"88","NSBA114EDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTA114ED-D.PDF","NSVBA114EDXV6T1G","0.09","Dual PNP Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Dual","PNP","SOT-563","50","35","1","Automotive","true","true","true","true","Active"
"88","MUN2112","https://www.onsemi.com/download/data-sheet/pdf/DTA124E-D.PDF","NSVMUN2112T1G","0.02","PNP Bipolar Digital Transistor (BRT)","2.5","0.8","22","22","0.1","Single","PNP","SC-59-3","50","60","1","Automotive","true","true","true","true","Active"
"88","NSBC114EDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC114ED-D.PDF","NSVBC114EDXV6T1G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Dual","NPN","SOT-563","50","35","1","Automotive","true","true","true","true","Active"
"88","NSBC114EPDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC114EP-D.PDF","NSVBC114EPDXV6T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Complementary","NPN+PNP","SOT-563","50","35","1","Automotive","true","true","true","true","Active"
"88","MUN5111DW1","https://www.onsemi.com/download/data-sheet/pdf/DTA114ED-D.PDF","NSVMUN5111DW1T3G","0.09","Dual PNP Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Dual","PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","35","1","Automotive","true","true","true","true","Active"
"88","MUN5211DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC114ED-D.PDF","NSVMUN5211DW1T3G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","35","1","Automotive","true","true","true","true","Active"
"88","MMUN2112L","https://www.onsemi.com/download/data-sheet/pdf/DTA124E-D.PDF","NSVMMUN2112LT1G","0.03","PNP Bipolar Digital Transistor (BRT)","2.5","0.8","22","22","0.1","Single","PNP","SOT-23-3","50","60","1","Automotive","true","true","true","true","Active"
"88","DTA114EE","https://www.onsemi.com/download/data-sheet/pdf/DTA114E-D.PDF","NSVDTA114EET1G","0.04","PNP Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Single","PNP","SC-75-3","50","35","1","Automotive","true","true","true","true","Active"
"88","DTA114EM3","https://www.onsemi.com/download/data-sheet/pdf/DTA114E-D.PDF","NSVDTA114EM3T5G","0.04","PNP Bipolar Digital Transistor (BRT)","2.5","0.8","10","10","0.1","Single","PNP","SOT-723-3","50","35","1","Automotive","true","true","true","true","Active"
