"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Shutter Type","Megapixels (MP)","Pixel Size (µm)","Frame Rate (fps)","Optical Format","Optical Format (inch)","Color","Output Interface","Package Type","Qualification","MSL Type","MSL Temp °C","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"97","AR0147AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0147ATSC00XUEA5-DPBR","'-","Hayabusa CMOS Digital Image Sensor, 1.3 MP, 1/4"", HDR + LFM, 1.3MP, 1/4"", RGB, 0deg CRA , 9x9 iBGA, Parallel/MIPI, dry pack with PF","Electronic Rolling","1.3","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Multi","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"97","AR0147AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0147ATSC00XUEA5-DRBR","'-","Hayabusa CMOS Digital Image Sensor, 1.3 MP, 1/4"", HDR + LFM, 1.3MP, 1/4"", RGB, 0deg CRA, 9x9 iBGA, Parallel/MIPI, Dry Pack without PF","Electronic Rolling","1.3","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Multi","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"97","AR0147AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0147ATSC00XUEG5-DPBR","'-","Hayabusa CMOS Digital Image Sensor, 1.3 MP, 1/4"", HDR + LFM, 1.3MP, 1/4"", RGB, 0deg CRA, 8x7 iBGA, Parallel/MIPI, Dry Pack with PF","Electronic Rolling","1.3","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Multi","IBGA-89","Automotive","3","260","true","true","true","true","Active"
"97","AR0147AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0147ATSC00XUEG5-DRBR","'-","Hayabusa CMOS Digital Image Sensor, 1.3 MP, 1/4"", HDR + LFM, 1.3MP, 1/4"", RGB, 0deg CRA, 8x7 iBGA, Parallel/MIPI, Dry Pack without PF","Electronic Rolling","1.3","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Multi","IBGA-89","Automotive","3","260","true","true","true","true","Active"
"97","AR0822","https://www.onsemi.com/download/data-sheet/pdf/null","AR0822NPSC10SMTA0-DP","'-","CMOS Image Sensor, 4K/ 8 MP","Rolling","8","2","90","1/8 inch<br>(3.2 mm)","0.13","RGB","MIPI","PBGA75 14x9.5","Standard","4","260","false","false","true","true","Active"
"97","AR0822","https://www.onsemi.com/download/data-sheet/pdf/null","AR0822NPSC10SMTA0-DR","'-","CMOS Image Sensor, 4K/ 8 MP","Rolling","8","2","90","1/8 inch<br>(3.2 mm)","0.13","RGB","MIPI","PBGA75 14x9.5","Standard","4","260","false","false","true","true","Active"
"97","AR0822","https://www.onsemi.com/download/data-sheet/pdf/null","AR0822NPSM10SMTA0-DP","'-","CMOS Image Sensor, 4K/ 8 MP","Rolling","8","2","90","1/8 inch<br>(3.2 mm)","0.13","RGB","MIPI","PBGA75 14x9.5","Standard","4","260","false","false","true","true","Active"
"97","AR0822","https://www.onsemi.com/download/data-sheet/pdf/null","AR0822NPSM10SMTA0-DR","'-","CMOS Image Sensor, 4K/ 8 MP","Rolling","8","2","90","1/8 inch<br>(3.2 mm)","0.13","RGB","MIPI","PBGA75 14x9.5","Standard","4","260","false","false","true","true","Active"
"93","MT9M114","https://www.onsemi.com/download/data-sheet/pdf/MT9M114-D.PDF","MT9M114EBLSTCZ-CR","'-","CMOS Image Sensor System-on-Chip, 1 MP, 1/6""","Electronic Rolling","1.3","1.9","30","1/6 inch<br>(4.2 mm)","0.17","RGB","MIPI","ODCSP-55","Standard","3","260","false","false","true","true","Active"
"91","AR0144AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0144ATSM20XUEA0-DPBR","'-","1/4"" 1.0 MP Global Shutter CMOS Image Sensor, Mono, 20 degree CRA, iBGA, Dry Pack with Protective Film, Double side BBAR glass","Global Shutter","1","3","60","1/4 inch<br>(6.4 mm)","0.25","Mono","MIPI","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"91","AR0144AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0144ATSM20XUEA0-DRBR","'-","1/4"" 1.0 MP Global Shutter CMOS Image Sensor, Mono, 20 degree CRA, iBGA, Dry Pack without Protective Film, Double side BBAR glass","Global Shutter","1","3","60","1/4 inch<br>(6.4 mm)","0.25","Mono","MIPI","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"91","AR0144AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0144ATSM20XUEA0-TRBR","'-","1/4"" 1.0 MP Global Shutter CMOS Image Sensor, Mono, 20 degree CRA, iBGA, Tape & Reel without Protective Film, Double side BBAR glass","Global Shutter","1","3","60","1/4 inch<br>(6.4 mm)","0.25","Mono","MIPI","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"90","AR0233AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0233ATSC17XUEA1-DPBR","'-","Hayabusa CMOS Image Sensor, 2.6 MP, 1/2.5”, HDR + LFM, RGB","Electronic Rolling","2.6","3","60","1/2.5 inch<br>(10.2 mm)","0.4","RGB","MIPI","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"90","AR0233AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0233ATSC17XUEA1-DRBR","'-","Hayabusa CMOS Image Sensor, 2.6 MP, 1/2.5”, HDR + LFM, RGB","Electronic Rolling","2.6","3","60","1/2.5 inch<br>(10.2 mm)","0.4","RGB","MIPI","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"90","AR0233AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0233ATSC17XUEA1-TPBR","'-","Hayabusa CMOS Image Sensor, 2.6 MP, 1/2.5”, HDR + LFM, RGB","Electronic Rolling","2.6","3","60","1/2.5 inch<br>(10.2 mm)","0.4","RGB","MIPI","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"90","AR0233AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0233ATSC17XUEA1-TRBR","'-","Hayabusa CMOS Image Sensor, 2.6 MP, 1/2.5”, HDR + LFM, RGB","Electronic Rolling","2.6","3","60","1/2.5 inch<br>(10.2 mm)","0.4","RGB","MIPI","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"90","AR0140AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0140AT2C00XUEA0-MG-TRBR","'-","CMOS Image Sensor, 1.0 MP, 1/4""","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Parallel","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"90","AR0820AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0820ATSC18XMEA0-DRBR","'-","CMOS Image Sensor, Digital, 8.3 MP, 1/2-inch, High-Resolution","Electronic Rolling","8.3","2.1","40","1/2 inch<br>(12.7 mm)","0.5","RGB","MIPI","IBGA-95","Automotive","3","260","true","true","true","true","Active"
"90","AR0820AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0820ATSC18XMEA0-TRBR","'-","CMOS Image Sensor, Digital, 8.3 MP, 1/2-inch, High-Resolution","Electronic Rolling","8.3","2.1","40","1/2 inch<br>(12.7 mm)","0.5","RGB","MIPI","IBGA-95","Automotive","3","260","true","true","true","true","Active"
"89","AR0140AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0140AT3C00XUEA0-VL-TPBR","'-","CMOS Image Sensor, 1.0 MP, 1/4""","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Parallel","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"89","AR0140AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0140AT2C00XUEA0-TRBR","'-","CMOS Image Sensor, 1.0 MP, 1/4""","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Parallel","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"89","AR0140AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0140AT3C00XUEA0-DPBR","'-","CMOS Image Sensor, 1.0 MP, 1/4""","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Parallel","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"89","AR0140AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0140AT3C00XUEA0-DRBR","'-","CMOS Image Sensor, 1.0 MP, 1/4""","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","RGB","Parallel","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"89","AR0820AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0820ATSC18XMEA0-DPBR","'-","CMOS Image Sensor, Digital, 8.3 MP, 1/2-inch, High-Resolution","Electronic Rolling","8.3","2.1","40","1/2 inch<br>(12.7 mm)","0.5","RGB","MIPI","IBGA-95","Automotive","3","260","true","true","true","true","Active"
"89","AR0820AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0820ATSC18XMEA0-P1-TPBR","'-","CMOS Image Sensor, Digital, 8.3 MP, 1/2-inch, High-Resolution","Electronic Rolling","8.3","2.1","40","1/2 inch<br>(12.7 mm)","0.5","RGB","MIPI","IBGA-95","Automotive","3","260","true","true","true","true","Active"
"89","AR0820AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0820ATSC18XMEA0-TPBR","'-","CMOS Image Sensor, Digital, 8.3 MP, 1/2-inch, High-Resolution","Electronic Rolling","8.3","2.1","40","1/2 inch<br>(12.7 mm)","0.5","RGB","MIPI","IBGA-95","Automotive","3","260","true","true","true","true","Active"
"87","AR0231AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0231AT7C00XUEA0-DPBR","'-","CMOS Image Sensor, 2.3 MP, 1/2.7""","Electronic Rolling","2.3","3","30","1/2.7 inch<br>(9.4 mm)","0.37","RGB","HiSPi™","IBGA-121","Automotive","3","260","true","true","true","true","Active"
"86","AR0237AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0237ATSC12XUEA0-DPBR","'-","CMOS Image Sensor, Digital, 2.1 MP/Full HD, 1/2.7-inch","Electronic Rolling and Global Reset Release","2.1","3","60","1/2.7 inch<br>(9.4 mm)","0.37","RGB","HiSPi™","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"86","AR0237AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0237ATSC12XUEA0-DRBR","'-","CMOS Image Sensor, Digital, 2.1 MP/Full HD, 1/2.7-inch","Electronic Rolling and Global Reset Release","2.1","3","60","1/2.7 inch<br>(9.4 mm)","0.37","RGB","HiSPi™","IBGA-80","Automotive","3","260","true","true","true","true","Active"
"86","AR0141CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0141CSSM21SUEA0-TPBR","'-","CMOS Image Sensor, 1.0 MP, 1/4"", Monochrome, CRA 21 Deg, IBGA Package, tape and Reel with protective film","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","Mono","Multi","IBGA-63","Standard","3","260","false","false","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M00XUEA0-DRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 0 Degree CRA, iBGA, Dry Pack without Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M00XUEA0-TPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 0 Degree CRA, iBGA, Tape & Reel with Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M25XUEA0-DPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 25 Degree CRA, iBGA, Dry Pack with Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M25XUEA0-DRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 25 Degree CRA, iBGA, Dry Pack without Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M25XUEA0-TRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 25 Degree CRA, iBGA, Tape & Reel without Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR1335","https://www.onsemi.com/download/data-sheet/pdf/null","AR1335CSSC11SMKA0-CP","'-","CMOS Image Sensor, 13 MP, 1/3"", Color CSP 11deg CRA with protective film","Electronic Rolling","13","1.1","30","1/3.2 inch<br>(7.9 mm)","0.31","RGB","MIPI","ODCSP-63","Standard","4","245","false","false","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M00XUEA0-DPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 0 Degree CRA, iBGA, Dry Pack with Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR0135AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0135AT2M25XUEA0-TPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3"", Global Shutter , Mono, 25 Degree CRA, iBGA, Tape & Reel with Protective Film, Double Side BBAR Glass","Global Shutter","1.2","3.75","54","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"85","AR0141CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0141CS2M00SUEA0-TPBR","'-","CMOS Image Sensor, 1.0 MP, 1/4"", Monochrome, with Protective Film, Tape and Reel","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","Mono","Multi","IBGA-63","Standard","3","260","false","false","true","true","Active"
"85","AR0220AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0220AT4B00XUEA2-DPBR","'-","CMOS Image Sensor, Digital, 1.7 MP, 1/1.8-Inch, 4.2 µm BSI pixel","Electronic Rolling","1.7","4.2","35","1/1.8 inch<br>(14.1 mm)","0.56","Bayer Color","MIPI","IBGA-87","Automotive","3","260","true","true","true","true","Active"
"85","AR0234CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0234CSSC00SUD20","'-","1/2.6-inch 2.3 Mp CMOS Digital Image Sensor with Global Shutter, 2.3MP 1/2.6"", RGB, 0 deg CRA, Bare Die","Global Shutter","2.3","3","120","1/2.6 inch<br>(9.8 mm)","0.38","Color","MIPI","","Standard","","","false","false","true","true","Active"
"85","AR0234CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0234CSSC28SUD20","'-","1/2.6-inch 2.3 Mp CMOS Digital Image Sensor with Global Shutter, 2.3MP 1/2.6"", RGB, 28 deg CRA, Bare Die","Global Shutter","2.3","3","120","1/2.6 inch<br>(9.8 mm)","0.38","Color","MIPI","","Standard","","","false","false","true","true","Active"
"85","AR0234CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0234CSSM00SUD20","'-","1/2.6-inch 2.3 Mp CMOS Digital Image Sensor with Global Shutter, 2.3MP 1/2.6"", Mono, 0 deg CRA, Bare Die","Global Shutter","2.3","3","120","1/2.6 inch<br>(9.8 mm)","0.38","Mono","MIPI","","Standard","","","false","false","true","true","Active"
"85","AR0234CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0234CSSM28SUD20","'-","1/2.6-inch 2.3 Mp CMOS Digital Image Sensor with Global Shutter, 2.3MP 1/2.6”, Mono, 28 deg CRA, Bare Die","Global Shutter","2.3","3","120","1/2.6 inch<br>(9.8 mm)","0.38","Mono","MIPI","","Standard","","","false","false","true","true","Active"
"85","AR0141CS","https://www.onsemi.com/download/data-sheet/pdf/null","AR0141CS2M00SUEA0-DPBR","'-","CMOS Image Sensor, 1.0 MP, 1/4"", Monochrome, with Protective Film","Electronic Rolling","1","3","60","1/4 inch<br>(6.4 mm)","0.25","Mono","Multi","IBGA-63","Standard","3","260","false","false","true","true","Active"
"84","AR1335","https://www.onsemi.com/download/data-sheet/pdf/null","AR1335CSSC32SMD20","'-","CMOS Image Sensor, 13 MP, 1/3"", Color 32 deg Bare Die 200um thick","Electronic Rolling","13","1.1","30","1/3.2 inch<br>(7.9 mm)","0.31","RGB","MIPI","","Standard","","","false","false","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6B00XPD20","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","","Automotive","","","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6C00XPD20","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","","Automotive","","","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6C00XPEA0-DPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","RGB","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6C00XPEA0-DRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","RGB","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6C00XPEA0-TPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","RGB","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6C00XPEA0-TRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","RGB","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6M00XPEA0-DPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6R00XPEA0-DPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Other","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6R00XPEA0-DRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Other","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6R00XPEA0-TPBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Other","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6R00XPEA0-TRBR","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","Other","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","AR0132AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0132AT6R00XPEA0-TRBR-E","'-","CMOS Image Sensor, 1.2 MP, 1/3""","Electronic Rolling","1.2","3.75","60","1/3 inch<br>(8.5 mm)","0.33","RGB and Mono","HiSPi™","IBGA-63","Automotive","3","260","true","true","true","true","Active"
"84","MT9V115","https://www.onsemi.com/download/data-sheet/pdf/MT9V115-D.PDF","MT9V115EBKSTC-CR","'-","CMOS Image Sensor System-on-Chip, VGA, 1/13""","Electronic Rolling","","1.75","30","1/13 inch<br>(2.0 mm)","0.08","RGB","","ODCSP-25","Standard","3","260","false","false","true","true","Active"
"84","AR0237SR","https://www.onsemi.com/download/data-sheet/pdf/null","AR0237SRSC12SHRA0-DR","'-","CMOS Image Sensor, 2.1 MP, 1/2.7"" Lower Cost,Both RGB and RGBIR Version., RGB Color, 12 deg CRA, mPLCC package, HiSPi interface, std glass (Dry pack)","Electronic Rolling and Global Reset Release","2.1","3","60","1/2.7 inch<br>(9.4 mm)","0.37","RGB","HiSPi™","mPLCC48 11.43x11.43 (HiSPi)","Standard","4","260","false","false","true","true","Active"
"84","AR0220AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0220AT4R00XUEA1-DPBM","'-","CMOS Image Sensor, Digital, 1.7 MP, 1/1.8-Inch, 4.2 µm BSI pixel","Electronic Rolling","1.7","4.2","35","1/1.8 inch<br>(14.1 mm)","0.56","White","MIPI","IBGA-87","Automotive","3","260","true","true","true","true","Active"
"84","AR0220AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0220AT4R00XUEA1-TPBM","'-","CMOS Image Sensor, Digital, 1.7 MP, 1/1.8-Inch, 4.2 µm BSI pixel","Electronic Rolling","1.7","4.2","35","1/1.8 inch<br>(14.1 mm)","0.56","White","MIPI","IBGA-87","Automotive","3","260","true","true","true","true","Active"
"84","AR0220AT","https://www.onsemi.com/download/data-sheet/pdf/null","AR0220AT4R00XUEA1-TRBM","'-","CMOS Image Sensor, Digital, 1.7 MP, 1/1.8-Inch, 4.2 µm BSI pixel","Electronic Rolling","1.7","4.2","35","1/1.8 inch<br>(14.1 mm)","0.56","White","MIPI","IBGA-87","Automotive","3","260","true","true","true","true","Active"
"83","AR0237 RGB-IR","https://www.onsemi.com/download/data-sheet/pdf/null","AR0237IRSH12SPRA0-DR","'-","CMOS Image Sensor, 2.1 MP, 1/2.7"", RGB-IR, AR0237 RBG-IR, 12 degree, mPLCC, Parallel","Electronic Rolling and Global Reset Release","2.1","3","30","1/2.7 inch<br>(9.4 mm)","0.37","RGB-IR","Parallel","PLCC-48","Standard","4","260","false","false","true","true","Active"
